league,season,game,jersey_number,player,team,is_starter,position,minutes_played
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,1,Predrag Rajković,Reims,True,GK,90
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,2,Wout Faes,Reims,True,CB,90
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,3,Ghislain Konan,Reims,True,WB,90
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,4,Maxime Busi,Reims,True,WB,90
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,5,Yunis Abdelhamid,Reims,True,CB,90
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,11,Nathanael Mbuku,Reims,True,FW,54
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,14,Valon Berisha,Reims,True,CM,54
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,15,Marshall Munetsi,Reims,True,CM,90
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,19,Mitchell van Bergen,Reims,True,FW,55
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,26,Dion Lopy,Reims,True,CM,61
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,32,Thomas Foket,Reims,True,CB,90
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,16,Yehvann Diouf,Reims,False,,0
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,8,Jens Cajuste,Reims,False,FW,36
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,12,Alexis Flips,Reims,False,,0
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,18,Fraser Hornby,Reims,False,,0
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,20,Ilan Kebbal,Reims,False,CM,29
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,23,Moreto Cassamã,Reims,False,,0
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,25,Moussa Doumbia,Reims,False,FW,35
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,28,Bradley Locko,Reims,False,CM,36
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,33,Kamory Doumbia,Reims,False,,0
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,40,Doğan Alemdar,Rennes,True,GK,90
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,3,Adrien Truffert,Rennes,True,LB,90
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,6,Nayef Aguerd,Rennes,True,CB,90
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,7,Martin Terrier,Rennes,True,LW,89
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,8,Baptiste Santamaria,Rennes,True,DM,90
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,14,Benjamin Bourigeaud,Rennes,True,RW,89
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,21,Lovro Majer,Rennes,True,AM,75
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,23,Warmed Omari,Rennes,True,CB,90
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,24,Gaëtan Laborde,Rennes,True,FW,83
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,27,Hamari Traoré,Rennes,True,RB,83
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,28,Jonas Martin,Rennes,True,DM,90
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,1,Romain Salin,Rennes,False,,0
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,9,Serhou Guirassy,Rennes,False,FW,7
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,17,Loum Tchaouna,Rennes,False,,0
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,19,Andy Diouf,Rennes,False,,0
