,COMPETITION,SEASON,game,minute,player,team,xG,PSxG,outcome,distance,body_part,notes,SCA 1player,SCA 1event,SCA 2player,SCA 2event
0,ENG-Premier League,2324,2024-05-13 Aston Villa-Liverpool,4,Mohamed Salah,Liverpool,0.06,,Blocked,16,Left Foot,,Mohamed Salah,Take-On,Harvey Elliott,Pass (Live)
1,ENG-Premier League,2324,2024-05-13 Aston Villa-Liverpool,5,Cody Gakpo,Liverpool,0.12,,Off Target,11,Head,,Alexis Mac Allister,Pass (Live),Harvey Elliott,Pass (Live)
2,ENG-Premier League,2324,2024-05-13 Aston Villa-Liverpool,12,Youri Tielemans,Aston Villa,0.19,0.2,Goal,18,Right Foot,,Ollie Watkins,Pass (Live),Ollie Watkins,Take-On
3,ENG-Premier League,2324,2024-05-13 Aston Villa-Liverpool,17,Leon Bailey,Aston Villa,0.02,,Blocked,11,Right Foot,,Moussa Diaby,Pass (Live),Leon Bailey,Pass (Live)
4,ENG-Premier League,2324,2024-05-13 Aston Villa-Liverpool,20,Ollie Watkins,Aston Villa,0.14,,Blocked,16,Right Foot,,Leon Bailey,Pass (Live),Diego Carlos,Pass (Live)
5,ENG-Premier League,2324,2024-05-13 Aston Villa-Liverpool,21,Leon Bailey,Aston Villa,0.1,,Blocked,10,Left Foot,,Moussa Diaby,Pass (Live),Ezri Konsa,Pass (Live)
6,ENG-Premier League,2324,2024-05-13 Aston Villa-Liverpool,23,Joe Gomez,Liverpool,0.08,0.15,Saved,12,Right Foot,,Luis Díaz,Pass (Live),Mohamed Salah,Pass (Live)
7,ENG-Premier League,2324,2024-05-13 Aston Villa-Liverpool,23,Cody Gakpo,Liverpool,0.96,0.94,Goal,4,Right Foot,,Joe Gomez,Shot,,
8,ENG-Premier League,2324,2024-05-13 Aston Villa-Liverpool,33,John McGinn,Aston Villa,0.04,,Blocked,18,Left Foot,,John McGinn,Take-On,Douglas Luiz,Pass (Live)
9,ENG-Premier League,2324,2024-05-13 Aston Villa-Liverpool,35,Pau Torres,Aston Villa,0.01,,Blocked,13,Head,,John McGinn,Pass (Dead),Leon Bailey,Fouled
10,ENG-Premier League,2324,2024-05-13 Aston Villa-Liverpool,36,Diego Carlos,Aston Villa,0.99,,Off Target,2,Left Foot,,Leon Bailey,Pass (Live),Leon Bailey,Take-On
11,ENG-Premier League,2324,2024-05-13 Aston Villa-Liverpool,38,Alexis Mac Allister,Liverpool,0.04,,Blocked,18,Right Foot,,Mohamed Salah,Pass (Live),Cody Gakpo,Pass (Live)
12,ENG-Premier League,2324,2024-05-13 Aston Villa-Liverpool,42,Trent Alexander-Arnold,Liverpool,0.04,,Off Target,29,Right Foot,,Luis Díaz,Pass (Live),Joe Gomez,Pass (Live)
13,ENG-Premier League,2324,2024-05-13 Aston Villa-Liverpool,43,Moussa Diaby,Aston Villa,0.26,,Off Target,19,Left Foot,,John McGinn,Pass (Live),,
14,ENG-Premier League,2324,2024-05-13 Aston Villa-Liverpool,48,Jarell Quansah,Liverpool,0.1,0.57,Goal,10,Head,,Harvey Elliott,Pass (Dead),Cody Gakpo,Fouled
15,ENG-Premier League,2324,2024-05-13 Aston Villa-Liverpool,54,Ollie Watkins,Aston Villa,0.41,,Off Target,11,Right Foot,,Moussa Diaby,Pass (Live),Moussa Diaby,Take-On
