,COMPETITION,SEASON,game,minute,player,team,xG,PSxG,outcome,distance,body_part,notes,SCA 1,SCA 1,SCA 2,SCA 2
,,,,,,,,,,,,,player,event,player,event
0,ESP-La Liga,2223,2022-08-12 Osasuna-Sevilla,1,Ezequiel Ávila,Osasuna,0.25,,Blocked,13,Right Foot,,Ezequiel Ávila,Take-On,Kike Barja,Pass (Live)
1,ESP-La Liga,2223,2022-08-12 Osasuna-Sevilla,9,Ezequiel Ávila,Osasuna,0.13,0.44,Goal,6,Head,,Rubén Peña,Pass (Live),Aimar Oroz,Pass (Live)
2,ESP-La Liga,2223,2022-08-12 Osasuna-Sevilla,11,Rafa Mir,Sevilla,0.25,0.88,Goal,4,Right Foot,Volley,Papu Gómez,Pass (Live),Marcos Acuña,Pass (Live)
3,ESP-La Liga,2223,2022-08-12 Osasuna-Sevilla,21,Lucas Torró,Osasuna,0.03,0.27,Saved,30,Right Foot,Volley,Aimar Oroz,Pass (Live),Ezequiel Ávila,Pass (Live)
4,ESP-La Liga,2223,2022-08-12 Osasuna-Sevilla,22,Jon Moncayola,Osasuna,0.03,,Blocked,25,Right Foot,Volley,Moi Gómez,Pass (Live),Aimar Oroz,Pass (Live)
5,ESP-La Liga,2223,2022-08-12 Osasuna-Sevilla,24,Papu Gómez,Sevilla,0.18,0.13,Saved,15,Right Foot,,Jesús Corona,Pass (Live),Lucas Ocampos,Pass (Live)
6,ESP-La Liga,2223,2022-08-12 Osasuna-Sevilla,27,Moi Gómez,Osasuna,0.04,,Woodwork,28,Left Foot,,Aimar Oroz,Pass (Live),Kike Barja,Pass (Live)
7,ESP-La Liga,2223,2022-08-12 Osasuna-Sevilla,30,Rafa Mir,Sevilla,0.02,,Off Target,27,Right Foot,,Marcos Acuña,Pass (Live),Papu Gómez,Pass (Live)
8,ESP-La Liga,2223,2022-08-12 Osasuna-Sevilla,39,Thomas Delaney,Sevilla,0.03,,Woodwork,28,Left Foot,,Papu Gómez,Pass (Live),Lucas Ocampos,Pass (Live)
9,ESP-La Liga,2223,2022-08-12 Osasuna-Sevilla,41,Rafa Mir,Sevilla,0.19,,Blocked,6,Right Foot,,Papu Gómez,Pass (Live),Lucas Ocampos,Pass (Live)
10,ESP-La Liga,2223,2022-08-12 Osasuna-Sevilla,45+1,Ezequiel Ávila,Osasuna,0.03,,Blocked,33,Right Foot,,Moi Gómez,Pass (Dead),Lucas Torró,Fouled
11,ESP-La Liga,2223,2022-08-12 Osasuna-Sevilla,56,Ezequiel Ávila,Osasuna,0.01,,Blocked,26,Left Foot,,Aimar Oroz,Fouled,,
